,gps_height,longitude,latitude,basin,region_code,district_code,population,permit,construction_year,extraction_type_class,management_group,payment,quality_group,quantity_group,source_class,waterpoint_type_group
21701,1391,36.66181779,-3.36340339,pangani,2,3,1.0,True,2010,other,user-group,never pay,good,enough,groundwater,other
25248,1499,35.30672465,-9.3950065,rufiji,11,4,1.0,True,2007,gravity,user-group,pay per bucket,good,dry,groundwater,communal standpipe
19196,183,38.74502886,-5.320953,pangani,4,3,1.0,False,2001,other,user-group,never pay,salty,insufficient,groundwater,other
567,1754,32.08379067,-8.48339295,lake rukwa,15,2,400.0,False,2003,handpump,user-group,never pay,good,enough,groundwater,hand pump
4567,0,33.82485648,-9.26504017,lake nyasa,12,4,1.0,True,0,gravity,user-group,unknown,good,enough,groundwater,communal standpipe
24823,0,33.0815433,-2.39114002,lake victoria,19,2,1.0,True,0,handpump,user-group,never pay,good,enough,groundwater,hand pump
16742,0,32.44534748,-3.64251151,lake tanganyika,17,3,1.0,True,0,other,user-group,unknown,milky,seasonal,groundwater,other
20734,8,39.20720155,-7.68363885,rufiji,60,53,1.0,True,1999,other,user-group,never pay,good,enough,groundwater,other
10343,0,34.8031643,-2e-08,lake victoria,19,6,1.0,True,0,submersible,user-group,unknown,unknown,dry,groundwater,communal standpipe
14220,0,33.11486912,-8.59239926,lake rukwa,12,1,1.0,True,0,gravity,user-group,pay monthly,good,enough,groundwater,communal standpipe
10302,1307,34.13667541,-1.76959675,lake victoria,20,3,250.0,False,1991,handpump,user-group,unknown,good,enough,groundwater,hand pump
13666,391,36.71596153,-8.89498045,rufiji,5,4,250.0,True,1996,gravity,user-group,pay monthly,good,enough,surface,communal standpipe
17766,1583,34.97305632,-4.55360837,internal,13,2,1.0,True,2010,submersible,user-group,unknown,unknown,unknown,groundwater,communal standpipe
8400,869,29.78834572,-4.98811749,lake tanganyika,16,3,350.0,True,1987,gravity,user-group,pay monthly,good,insufficient,surface,communal standpipe
6592,126,39.30820002,-10.32004141,ruvuma / southern coast,80,23,156.0,False,2010,gravity,user-group,pay per bucket,good,insufficient,surface,communal standpipe
6206,2130,34.02459057,-9.34883758,lake nyasa,11,3,1.0,False,1990,gravity,user-group,never pay,unknown,dry,groundwater,communal standpipe
3353,1387,34.9735994,-10.98136222,ruvuma / southern coast,10,3,60.0,True,2002,gravity,user-group,never pay,good,insufficient,groundwater,communal standpipe
19246,1164,30.33764371,-5.52777942,lake tanganyika,15,1,100.0,True,1981,other,commercial,never pay,good,enough,groundwater,hand pump
13790,0,33.538408399999994,-9.18017604,lake nyasa,12,4,1.0,True,0,gravity,user-group,never pay,good,insufficient,groundwater,communal standpipe
13371,0,33.34749843,-2.72654349,lake victoria,19,4,1.0,True,0,handpump,user-group,never pay,good,dry,groundwater,hand pump
15296,945,29.64636162,-4.78316269,lake tanganyika,16,3,300.0,True,1992,gravity,user-group,unknown,good,insufficient,groundwater,communal standpipe
9037,0,33.81496759,-9.52968485,lake nyasa,12,3,1.0,True,0,gravity,user-group,never pay,good,dry,groundwater,communal standpipe
24033,0,33.88809225,-8.60602661,rufiji,12,7,1.0,True,0,handpump,user-group,never pay,good,enough,groundwater,hand pump
19172,1347,35.62153691,-7.62498601,rufiji,11,1,1.0,True,1964,gravity,user-group,never pay,good,dry,groundwater,communal standpipe
6667,1314,36.78174223,-3.36936635,pangani,2,7,120.0,True,1968,gravity,user-group,unknown,good,insufficient,groundwater,communal standpipe
17470,0,33.77129996,-9.57341462,lake nyasa,12,3,1.0,True,0,gravity,commercial,pay monthly,good,dry,groundwater,communal standpipe
19676,0,30.82423602,-2.5031894,lake victoria,18,30,1.0,False,0,rope pump,user-group,never pay,good,enough,groundwater,communal standpipe
20696,379,37.44247448,-6.30877447,wami / ruvu,5,6,1.0,True,2009,other,commercial,never pay,unknown,dry,groundwater,other
12870,1437,34.34026995,-4.3890827,internal,13,1,525.0,True,2006,submersible,user-group,pay per bucket,good,insufficient,groundwater,communal standpipe
20303,1277,34.26396812,-1.71325057,lake victoria,20,2,1.0,True,1998,handpump,other,never pay,good,enough,groundwater,hand pump
20949,911,29.64216166,-4.79774317,lake tanganyika,16,3,380.0,True,1992,gravity,user-group,unknown,good,insufficient,groundwater,communal standpipe
15668,0,33.40645741,-2.83602734,lake victoria,19,4,1.0,True,0,handpump,user-group,never pay,good,enough,groundwater,hand pump
26277,1108,36.72695383,-3.85043983,pangani,21,4,150.0,True,1980,other,user-group,pay per bucket,good,enough,surface,other
5654,0,34.8031643,-2e-08,lake victoria,17,1,1.0,False,0,handpump,user-group,never pay,good,enough,groundwater,hand pump
5243,283,36.70910775,-8.08706687,rufiji,5,3,70.0,True,2003,other,user-group,never pay,good,insufficient,groundwater,hand pump
8968,193,38.75563854,-5.20705764,pangani,4,3,400.0,False,2000,other,user-group,pay per bucket,salty,insufficient,groundwater,other
13441,1251,30.02989429,-4.83330108,lake tanganyika,16,2,570.0,True,1984,gravity,user-group,unknown,good,enough,surface,communal standpipe
18463,1743,36.48021779,-2.48776848,internal,2,6,350.0,True,2006,gravity,user-group,pay when scheme fails,good,dry,surface,communal standpipe
9753,0,30.54172049,-2.51620997,lake victoria,18,30,1.0,False,0,gravity,user-group,never pay,good,dry,groundwater,communal standpipe
7369,0,34.8031643,-2e-08,lake victoria,19,2,1.0,True,0,motorpump,user-group,never pay,good,enough,groundwater,communal standpipe
7176,1696,34.99814273,-4.18217123,internal,21,3,100.0,True,1974,other,user-group,never pay,good,enough,groundwater,hand pump
7680,955,37.84077905,-4.15343753,pangani,3,3,43.0,True,0,gravity,unknown,other,good,enough,surface,communal standpipe
2937,1718,29.79560662,-4.43030153,lake tanganyika,16,2,270.0,False,1969,submersible,user-group,never pay,good,enough,groundwater,communal standpipe
3216,0,32.61325372,-3.79653577,lake victoria,17,3,1.0,False,0,other,user-group,unknown,milky,dry,groundwater,other
7355,175,38.76831625,-5.05057528,pangani,4,3,1.0,False,1999,gravity,user-group,never pay,good,seasonal,groundwater,communal standpipe
17062,2037,31.85187423,-8.18919417,lake rukwa,15,2,450.0,False,1991,gravity,user-group,never pay,good,insufficient,groundwater,other
17180,1495,37.5756154,-3.2733512000000005,pangani,3,4,1.0,True,1960,gravity,user-group,never pay,good,insufficient,groundwater,communal standpipe
22482,0,33.40729719,-3.69652481,internal,17,7,1.0,False,0,gravity,parastatal,other,good,insufficient,surface,communal standpipe
744,368,38.69023775,-10.53568334,ruvuma / southern coast,90,33,1.0,False,1992,other,user-group,unknown,salty,dry,groundwater,other
25542,232,38.68024505,-9.17619748,ruvuma / southern coast,80,13,1.0,True,2012,other,user-group,unknown,salty,enough,groundwater,other
13436,0,35.93944483,-6.0143582,wami / ruvu,1,5,1.0,False,0,motorpump,commercial,pay per bucket,good,dry,groundwater,communal standpipe
10540,350,39.00602063,-10.78612765,ruvuma / southern coast,90,33,1.0,True,1981,other,user-group,unknown,salty,dry,groundwater,other
25628,-2,38.74719838,-7.88172357,rufiji,60,53,1.0,True,1974,motorpump,user-group,other,good,insufficient,groundwater,communal standpipe
19423,89,39.36592164,-10.29765122,ruvuma / southern coast,80,23,1.0,False,2010,gravity,user-group,pay per bucket,good,enough,surface,communal standpipe
2423,0,35.71414187,-6.23024315,internal,1,5,1.0,False,0,other,user-group,never pay,good,dry,groundwater,other
234,0,33.92608597,-3.69931833,internal,17,8,1.0,False,0,other,user-group,pay when scheme fails,good,insufficient,groundwater,other
5002,35,39.14523523,-6.97146211,wami / ruvu,7,2,500.0,False,2010,submersible,parastatal,never pay,good,enough,groundwater,communal standpipe
2629,0,33.49427075,-3.62601107,internal,17,7,1.0,False,0,handpump,user-group,unknown,salty,insufficient,groundwater,hand pump
10188,1459,34.46883709,-1.92312583,lake victoria,20,2,450.0,True,1996,rope pump,user-group,never pay,good,enough,groundwater,hand pump
9491,0,33.29728919,-4.61740447,lake tanganyika,14,1,1.0,False,0,other,user-group,never pay,good,seasonal,groundwater,other
7387,22,39.48042176,-6.93036716,wami / ruvu,7,3,150.0,False,1970,motorpump,user-group,never pay,salty,dry,groundwater,other
15047,0,33.86354819,-8.67637453,rufiji,12,7,1.0,False,0,gravity,user-group,never pay,good,seasonal,surface,communal standpipe
24221,0,33.15704412,-4.59365105,lake tanganyika,14,1,1.0,True,0,motorpump,user-group,never pay,good,insufficient,surface,communal standpipe
19307,306,36.3980859,-8.15135235,rufiji,5,3,500.0,True,1979,gravity,user-group,pay per bucket,good,insufficient,surface,communal standpipe
2944,0,32.99725267,-5.29656591,lake tanganyika,14,3,1.0,True,0,handpump,user-group,never pay,salty,enough,groundwater,hand pump
25476,295,36.66451343,-8.38561808,rufiji,5,4,1.0,True,1996,handpump,user-group,never pay,good,insufficient,groundwater,hand pump
14260,431,38.65461221,-10.66094576,ruvuma / southern coast,90,33,1.0,True,1975,other,user-group,unknown,salty,dry,groundwater,other
15678,0,31.76536109,-1.35105289,lake victoria,18,2,1.0,True,0,gravity,user-group,never pay,good,insufficient,groundwater,communal standpipe
2148,1657,34.47220827,-9.83987169,lake nyasa,11,5,102.0,False,1995,gravity,user-group,pay annually,good,insufficient,groundwater,communal standpipe
11188,0,33.81407417,-3.610826,internal,17,8,1.0,False,0,gravity,parastatal,unknown,good,seasonal,surface,communal standpipe
346,403,38.68873692,-10.54666682,ruvuma / southern coast,90,33,1.0,True,1992,handpump,user-group,pay per bucket,good,dry,surface,hand pump
25452,1615,34.89286184,-4.56598168,internal,13,2,1.0,True,2000,other,user-group,unknown,unknown,dry,groundwater,other
2345,1087,31.08207682,-6.34683759,lake rukwa,15,1,1.0,True,2010,gravity,commercial,pay per bucket,good,enough,groundwater,communal standpipe
7424,0,32.74301575,-8.8568593,lake rukwa,12,6,1.0,False,0,handpump,user-group,never pay,good,enough,groundwater,hand pump
8108,0,33.9661578,-3.1148551,lake victoria,17,2,1.0,False,0,other,user-group,other,good,dry,groundwater,other
3245,1397,30.90383203,-2.95745606,lake tanganyika,16,1,200.0,False,1988,gravity,user-group,unknown,good,enough,groundwater,communal standpipe
23616,0,30.62419606,-2.64140743,lake victoria,18,30,1.0,False,0,handpump,user-group,never pay,good,enough,groundwater,hand pump
24692,92,39.16236455,-6.74000429,wami / ruvu,7,1,206.0,False,1970,submersible,user-group,pay per bucket,good,dry,surface,communal standpipe
4486,0,33.51688495,-3.12206127,lake victoria,17,2,1.0,False,0,other,user-group,never pay,good,dry,groundwater,other
988,1026,36.80499718,-3.47638431,pangani,2,2,100.0,True,2000,gravity,user-group,pay per bucket,good,insufficient,groundwater,communal standpipe
19664,0,32.766904700000005,-4.84664029,lake tanganyika,14,6,1.0,True,0,handpump,user-group,never pay,good,dry,groundwater,hand pump
10806,1519,31.05027062,-7.52109903,lake tanganyika,15,3,120.0,False,1993,other,user-group,never pay,salty,insufficient,groundwater,other
12462,0,34.8031643,-2e-08,lake victoria,17,1,1.0,False,0,other,user-group,never pay,unknown,dry,groundwater,other
8760,1459,37.60479093,-3.24802852,pangani,3,1,1.0,True,1980,gravity,commercial,pay monthly,good,insufficient,groundwater,communal standpipe
4339,1460,37.61659628,-3.04595757,internal,3,1,1.0,True,1962,gravity,commercial,pay monthly,good,insufficient,groundwater,communal standpipe
10526,0,33.84363405,-9.59659616,lake nyasa,12,3,1.0,True,0,gravity,user-group,never pay,good,dry,groundwater,communal standpipe
4737,0,30.94573824,-1.39502321,lake victoria,18,1,1.0,True,0,gravity,user-group,never pay,good,dry,groundwater,communal standpipe
9299,0,32.5634495,-8.95088628,lake rukwa,12,6,1.0,False,0,other,user-group,pay when scheme fails,good,enough,groundwater,other
4601,1358,37.56892945,-3.2901696000000005,pangani,3,4,1.0,True,2003,gravity,user-group,pay monthly,good,insufficient,groundwater,communal standpipe
24717,1504,34.73937588,-4.77840588,internal,13,4,1.0,True,2005,motorpump,user-group,never pay,good,dry,groundwater,communal standpipe
25534,541,38.02721803,-4.29292967,pangani,3,3,240.0,True,1994,gravity,user-group,never pay,good,enough,surface,communal standpipe
17115,939,37.57860671,-3.35569233,pangani,3,4,1.0,True,1983,gravity,user-group,never pay,good,insufficient,groundwater,other
1736,529,37.59695746,-6.89669072,wami / ruvu,5,5,80.0,True,1970,gravity,user-group,never pay,good,insufficient,surface,communal standpipe
15714,0,31.57473527,-1.17650208,lake victoria,18,7,1.0,True,0,handpump,user-group,pay annually,good,insufficient,groundwater,hand pump
18087,0,33.32614572,-2.866004,lake victoria,19,4,1.0,True,0,other,user-group,never pay,good,dry,groundwater,other
9954,0,34.8031643,-2e-08,lake victoria,19,6,1.0,True,0,submersible,user-group,unknown,unknown,dry,surface,communal standpipe
586,0,35.59909399,-6.08734105,internal,1,5,1.0,False,0,motorpump,user-group,pay per bucket,good,dry,groundwater,communal standpipe
24312,1222,33.9139555,-1.24135522,lake victoria,20,6,530.0,False,2004,submersible,user-group,unknown,good,enough,surface,communal standpipe
12681,1644,37.59030649,-3.21498757,pangani,3,1,1.0,True,1977,gravity,commercial,pay monthly,good,enough,groundwater,communal standpipe
22128,0,32.60221664,-3.72750124,lake victoria,17,3,1.0,True,0,handpump,user-group,unknown,milky,seasonal,groundwater,hand pump
12815,0,33.84737777,-9.22340715,lake nyasa,12,4,1.0,True,0,gravity,commercial,unknown,good,enough,surface,communal standpipe
13067,0,33.66381245,-3.12880794,lake victoria,17,2,1.0,False,0,gravity,user-group,other,good,seasonal,surface,communal standpipe
14595,1204,36.96763806,-3.30224856,pangani,2,7,120.0,True,1963,gravity,user-group,unknown,good,insufficient,groundwater,communal standpipe
16743,0,33.02703333,-2.5293954,lake victoria,19,2,1.0,True,0,other,user-group,never pay,good,enough,groundwater,other
15009,1300,36.90587759,-3.32906888,pangani,2,7,120.0,True,2010,gravity,user-group,unknown,fluoride,insufficient,surface,communal standpipe
2201,0,33.07846743,-5.09582255,lake tanganyika,14,3,1.0,True,0,handpump,user-group,never pay,good,dry,groundwater,hand pump
1263,386,36.81907658,-9.05078021,rufiji,5,4,1.0,True,1991,other,user-group,never pay,good,enough,groundwater,other
12360,1622,36.65653131,-3.30317727,pangani,2,2,300.0,True,1980,gravity,user-group,never pay,good,insufficient,groundwater,other
26118,1487,36.7745666,-3.34377053,pangani,2,7,150.0,True,1970,gravity,unknown,unknown,unknown,unknown,groundwater,communal standpipe
7891,0,32.84804634,-8.82240672,lake rukwa,12,6,1.0,False,0,handpump,user-group,pay when scheme fails,good,seasonal,groundwater,hand pump
24182,1029,37.01912827,-6.04244505,wami / ruvu,5,1,150.0,True,1996,other,user-group,never pay,salty,enough,groundwater,other
11657,1544,36.61898128,-3.29321413,pangani,2,2,200.0,True,2009,gravity,user-group,never pay,good,insufficient,groundwater,communal standpipe
25635,0,32.00807779,-3.65035555,lake tanganyika,17,5,1.0,True,0,handpump,user-group,unknown,good,dry,groundwater,hand pump
17195,0,33.61468534,-2.85141152,lake victoria,17,2,1.0,False,0,other,user-group,never pay,good,enough,groundwater,hand pump
22756,0,33.66678909,-9.35735359,lake nyasa,12,4,1.0,True,0,gravity,user-group,never pay,good,enough,groundwater,communal standpipe
9582,0,33.66009918,-4.2647927,internal,14,2,1.0,False,0,submersible,user-group,pay per bucket,good,enough,surface,communal standpipe
3017,773,37.29458025,-3.39183293,pangani,3,6,12.0,True,2008,gravity,commercial,pay per bucket,unknown,insufficient,groundwater,communal standpipe
24461,341,39.52661331,-10.58856226,ruvuma / southern coast,9,4,1.0,True,1982,submersible,user-group,never pay,good,dry,groundwater,communal standpipe
16627,416,38.96017932,-10.18484884,ruvuma / southern coast,80,53,560.0,False,1984,handpump,user-group,never pay,salty,enough,groundwater,hand pump
20091,0,31.17245266,-1.43525531,lake victoria,18,1,1.0,True,0,gravity,user-group,never pay,good,insufficient,surface,communal standpipe
16320,0,35.69621378,-5.62374453,internal,1,1,1.0,False,0,motorpump,user-group,never pay,good,enough,groundwater,communal standpipe
4181,801,30.40765029,-6.73966157,lake tanganyika,15,1,250.0,True,2012,other,commercial,pay annually,good,enough,groundwater,communal standpipe
20614,0,36.10482049,-4.91923472,internal,1,1,1.0,False,0,gravity,user-group,never pay,good,enough,groundwater,communal standpipe
21201,0,31.45900803,-1.52300633,lake victoria,18,2,1.0,True,0,handpump,user-group,never pay,salty,insufficient,groundwater,hand pump
4752,0,33.12600361,-9.0826231,lake rukwa,12,6,1.0,False,0,handpump,user-group,pay when scheme fails,good,seasonal,groundwater,hand pump
24800,-43,34.8031643,-10.3301091,ruvuma / southern coast,9,5,443.0,False,1988,other,user-group,never pay,good,seasonal,groundwater,other
1843,1668,29.76936188,-4.45649891,lake tanganyika,16,2,1.0,False,1995,other,user-group,never pay,good,enough,groundwater,other
3030,156,37.66590194,-7.41467124,wami / ruvu,5,2,180.0,True,1995,other,user-group,pay when scheme fails,unknown,unknown,groundwater,other
9689,906,37.59267835,-3.74430797,pangani,3,2,70.0,True,1972,gravity,user-group,pay monthly,good,insufficient,groundwater,other
22848,0,36.56109186,-6.68985849,wami / ruvu,1,1,1.0,True,0,gravity,user-group,pay per bucket,good,enough,groundwater,communal standpipe
7971,0,32.22899701,-5.03894826,lake tanganyika,14,4,1.0,True,0,other,user-group,never pay,good,insufficient,groundwater,hand pump
8261,0,33.90364601,-9.61719236,lake nyasa,12,3,1.0,True,0,gravity,user-group,never pay,good,dry,groundwater,communal standpipe
3056,0,36.44038722,-7.22403812,rufiji,1,1,1.0,True,0,handpump,user-group,never pay,good,dry,groundwater,hand pump
7603,200,38.88025426,-7.73684537,rufiji,60,53,1.0,True,2005,motorpump,user-group,never pay,good,enough,groundwater,communal standpipe
6782,1393,34.09160601,-1.77728225,lake victoria,20,3,320.0,True,2003,handpump,user-group,unknown,salty,insufficient,groundwater,hand pump
15705,1157,31.17610579,-6.35818035,lake rukwa,15,1,200.0,True,1996,other,user-group,pay annually,good,insufficient,groundwater,other
10377,0,31.83438553,-1.25633989,lake victoria,18,2,1.0,True,0,gravity,user-group,never pay,unknown,dry,groundwater,improved spring
10250,321,35.79474456,-8.79171267,rufiji,5,3,200.0,True,2002,gravity,user-group,never pay,good,insufficient,surface,communal standpipe
21283,0,33.00863116,-8.52257544,lake rukwa,12,1,1.0,True,0,gravity,user-group,never pay,good,enough,groundwater,communal standpipe
24037,0,33.12408444,-2.51594104,lake victoria,19,2,1.0,True,0,other,user-group,never pay,good,enough,groundwater,hand pump
17466,536,38.07041628,-4.46232806,pangani,3,3,140.0,True,2013,gravity,user-group,pay monthly,good,enough,surface,communal standpipe
19756,0,32.44868701,-5.10134651,lake tanganyika,14,3,1.0,True,0,other,user-group,never pay,good,dry,groundwater,other
444,53,39.27572898,-7.19024193,wami / ruvu,6,4,100.0,False,2003,handpump,user-group,never pay,good,dry,groundwater,hand pump
22556,1267,36.78979734,-2.5953687000000003,internal,2,6,200.0,True,2003,gravity,user-group,pay when scheme fails,good,insufficient,surface,communal standpipe
7329,1400,34.57948893,-4.19374105,internal,13,1,256.0,True,2010,handpump,user-group,pay annually,good,enough,groundwater,hand pump
25240,314,38.99972419,-10.33087068,ruvuma / southern coast,80,53,150.0,True,1998,submersible,user-group,never pay,good,enough,groundwater,communal standpipe
3915,0,33.78640106,-9.49688084,lake nyasa,12,3,1.0,True,0,gravity,user-group,never pay,good,dry,groundwater,communal standpipe
25815,184,38.58620359,-11.22440733,ruvuma / southern coast,90,63,86.0,True,1976,other,user-group,never pay,good,dry,groundwater,other
10044,141,38.83779189,-5.27197643,pangani,4,5,250.0,False,1972,submersible,user-group,never pay,salty,insufficient,groundwater,other
22983,1106,34.19477936,-4.53194511,internal,13,1,217.0,True,1991,handpump,user-group,pay annually,good,enough,groundwater,hand pump
12524,0,33.81335023,-9.50490303,lake nyasa,12,3,1.0,True,0,gravity,user-group,never pay,good,dry,groundwater,communal standpipe
21622,899,35.16386372,-10.79069656,ruvuma / southern coast,10,3,60.0,True,2002,gravity,user-group,unknown,good,dry,groundwater,communal standpipe
18891,0,36.09129637,-4.74685528,internal,1,1,1.0,False,0,gravity,user-group,never pay,good,enough,groundwater,communal standpipe
5651,1624,29.76430945,-4.63889097,lake tanganyika,16,3,183.0,True,2009,gravity,user-group,unknown,good,enough,groundwater,communal standpipe
11507,296,36.67366623,-8.3824875,rufiji,5,4,240.0,True,1986,handpump,user-group,pay monthly,good,insufficient,groundwater,hand pump
16231,1380,37.19927611,-3.22053914,pangani,3,5,35.0,True,1995,gravity,user-group,other,good,enough,groundwater,communal standpipe
5126,0,31.81655694,-1.24125985,lake victoria,18,2,1.0,True,0,gravity,user-group,never pay,good,insufficient,groundwater,improved spring
10616,1445,34.96319432,-10.99069186,ruvuma / southern coast,10,3,90.0,True,1993,gravity,user-group,pay monthly,good,dry,groundwater,communal standpipe
14206,891,36.97887476,-3.56252372,pangani,21,4,200.0,True,2000,submersible,commercial,pay per bucket,good,enough,groundwater,other
9032,981,35.49758537,-10.82456598,ruvuma / southern coast,10,2,175.0,True,1978,gravity,user-group,pay when scheme fails,good,dry,surface,communal standpipe
578,0,34.8031643,-2e-08,lake victoria,17,1,1.0,False,0,other,user-group,never pay,salty,enough,groundwater,other
14641,0,33.52510516,-9.29688583,lake nyasa,12,4,1.0,True,0,gravity,user-group,pay monthly,good,insufficient,groundwater,communal standpipe
13763,1216,30.97146523,-3.29617584,lake tanganyika,16,1,1.0,False,1991,gravity,user-group,unknown,good,insufficient,groundwater,communal standpipe
23438,0,34.87195158,-8.14049175,rufiji,12,7,1.0,True,0,gravity,user-group,pay annually,good,seasonal,surface,communal standpipe
17564,1424,37.9964634,-4.26836792,pangani,3,3,200.0,True,1996,gravity,user-group,never pay,unknown,insufficient,groundwater,communal standpipe
3121,1805,31.48745607,-7.88369226,lake tanganyika,15,4,350.0,True,1994,handpump,user-group,pay monthly,good,dry,groundwater,hand pump
23173,1276,30.48003244,-5.6132731,lake tanganyika,15,1,12.0,True,1980,gravity,user-group,pay monthly,good,enough,groundwater,communal standpipe
21562,1026,29.668994399999995,-4.71792636,lake tanganyika,16,3,180.0,True,2003,gravity,parastatal,pay monthly,good,enough,groundwater,communal standpipe
23911,-27,39.44140518,-6.89840262,wami / ruvu,7,3,110.0,False,2000,motorpump,other,pay per bucket,salty,dry,groundwater,communal standpipe
17550,1586,37.47311242,-3.28896975,pangani,3,4,1.0,True,1972,gravity,other,never pay,good,insufficient,surface,other
26455,0,33.56577031,-9.25466161,lake nyasa,12,4,1.0,True,0,gravity,user-group,never pay,good,insufficient,groundwater,communal standpipe
19543,977,36.82592889,-3.49773066,pangani,2,2,150.0,True,1980,gravity,user-group,pay per bucket,good,insufficient,groundwater,communal standpipe
11353,430,37.57972019,-10.85720657,ruvuma / southern coast,10,1,1.0,False,1988,handpump,user-group,pay monthly,good,enough,groundwater,hand pump
8855,1374,37.61700132,-3.22731526,pangani,3,1,1.0,True,1980,gravity,commercial,pay monthly,good,insufficient,groundwater,communal standpipe
5893,33,38.6997024,-6.86524285,wami / ruvu,6,3,288.0,False,2004,handpump,user-group,never pay,colored,insufficient,groundwater,hand pump
10655,0,30.89285735,-1.4803908,lake victoria,18,1,1.0,True,0,gravity,user-group,never pay,good,dry,surface,communal standpipe
17986,959,36.78463062,-3.57864631,pangani,2,2,200.0,True,2010,other,commercial,never pay,good,insufficient,surface,other
22821,1285,36.90226813,-3.34465885,pangani,2,7,98.0,True,2006,submersible,user-group,unknown,good,insufficient,surface,communal standpipe
1889,1112,31.07641629,-6.39371366,lake rukwa,15,1,280.0,True,2000,handpump,user-group,pay when scheme fails,salty,enough,groundwater,hand pump
23133,0,32.7291609,-3.8472737,lake victoria,17,3,1.0,True,0,handpump,user-group,never pay,good,insufficient,groundwater,hand pump
2819,507,38.07394573,-4.46053917,pangani,3,3,170.0,True,2013,gravity,user-group,pay monthly,good,enough,surface,communal standpipe
10221,0,33.65481741,-4.13484388,internal,14,2,1.0,True,0,motorpump,user-group,unknown,unknown,dry,groundwater,communal standpipe
26276,1491,34.76626671,-8.81729654,rufiji,11,4,79.0,True,1978,gravity,user-group,pay when scheme fails,good,dry,surface,communal standpipe
5325,0,36.47648228,-6.22573565,wami / ruvu,1,3,1.0,False,0,gravity,user-group,pay annually,good,dry,groundwater,communal standpipe
14770,1253,33.01569519,-2.07842024,lake victoria,19,1,350.0,True,1982,other,user-group,never pay,good,insufficient,surface,communal standpipe
26189,1525,37.88878087,-4.12579076,pangani,3,3,30.0,True,2010,gravity,user-group,pay annually,good,enough,surface,communal standpipe
25295,842,36.12926013,-10.47410148,rufiji,10,5,250.0,True,1982,gravity,user-group,never pay,good,enough,surface,communal standpipe
19451,0,35.99661737,-4.52055526,internal,1,1,1.0,False,0,motorpump,user-group,pay per bucket,good,insufficient,groundwater,communal standpipe
1294,0,34.35042649,-3.16313715,internal,17,6,1.0,True,0,other,user-group,never pay,good,dry,groundwater,hand pump
19541,1600,34.88683062,-11.05991661,lake nyasa,10,3,1.0,True,2004,gravity,user-group,unknown,good,dry,groundwater,communal standpipe
9828,0,33.50366905,-3.12330667,lake victoria,17,2,1.0,False,0,other,user-group,never pay,good,dry,groundwater,other
26966,366,37.63750903,-6.09424087,wami / ruvu,5,6,90.0,True,1996,handpump,user-group,pay monthly,salty,enough,groundwater,hand pump
16939,44,38.57489415,-6.79903435,wami / ruvu,6,2,400.0,True,1974,gravity,user-group,never pay,good,insufficient,surface,communal standpipe
9395,0,31.31647979,-2.61482043,lake victoria,18,4,1.0,True,0,handpump,user-group,never pay,good,enough,groundwater,hand pump
8484,0,31.26966533,-2.64927044,lake tanganyika,18,4,1.0,True,0,handpump,user-group,pay when scheme fails,good,enough,groundwater,hand pump
552,-20,38.89884883,-6.44317203,wami / ruvu,6,1,100.0,False,2009,handpump,parastatal,never pay,good,enough,groundwater,hand pump
