,status_group
21867,non functional
4220,non functional
4656,non functional
10872,non functional
5550,non functional
21683,non functional
14243,non functional
14074,non functional
8635,functional needs repair
24009,non functional
15526,functional needs repair
23488,non functional
24493,non functional
5366,non functional
22187,non functional
21246,non functional
25027,non functional
25085,non functional
6908,non functional
24834,non functional
6167,non functional
9016,functional needs repair
3632,non functional
26063,non functional
26122,non functional
7018,non functional
15893,non functional
6453,non functional
1470,non functional
19116,non functional
23942,functional needs repair
14773,non functional
17462,non functional
16556,non functional
17099,non functional
18319,non functional
1395,non functional
7991,non functional
10802,non functional
9936,non functional
12763,non functional
9232,non functional
13850,non functional
3663,non functional
5025,non functional
8416,non functional
12089,non functional
15915,non functional
1017,non functional
21550,non functional
25797,non functional
2111,non functional
9814,non functional
7256,non functional
14949,non functional
10383,non functional
26524,non functional
12888,non functional
8169,non functional
8513,non functional
17043,functional needs repair
5901,non functional
1727,functional needs repair
13045,non functional
19328,non functional
23572,functional needs repair
5310,non functional
19493,non functional
23307,functional needs repair
5655,non functional
16932,non functional
3845,functional needs repair
5898,functional needs repair
18946,non functional
4296,non functional
8136,functional needs repair
26428,non functional
16526,non functional
8311,functional needs repair
21296,non functional
11605,functional needs repair
7537,non functional
11795,non functional
21274,non functional
26990,functional needs repair
5728,functional needs repair
10891,non functional
22122,non functional
16493,non functional
25182,non functional
11743,non functional
7408,non functional
10099,non functional
25860,non functional
8772,non functional
26676,non functional
12053,non functional
11460,non functional
25359,non functional
22178,functional needs repair
25790,non functional
17495,non functional
21252,functional needs repair
14044,non functional
26904,non functional
2707,non functional
15910,non functional
19099,non functional
480,non functional
3301,non functional
15036,functional needs repair
15979,non functional
18924,non functional
16730,functional needs repair
11011,non functional
11017,non functional
25566,functional needs repair
20069,non functional
15589,non functional
17129,non functional
5787,non functional
24898,functional needs repair
455,non functional
13800,non functional
6125,non functional
4669,non functional
2452,non functional
13587,non functional
26193,non functional
6653,functional needs repair
23953,functional needs repair
17162,non functional
2204,non functional
2573,non functional
8732,functional needs repair
18835,non functional
21145,non functional
17842,non functional
21760,non functional
20786,functional needs repair
3461,non functional
18866,non functional
809,non functional
20304,non functional
21442,non functional
21572,non functional
14798,non functional
17912,non functional
8799,non functional
9463,non functional
10409,non functional
18382,non functional
9112,non functional
26180,functional needs repair
17590,non functional
3627,non functional
26521,non functional
8685,non functional
1884,functional needs repair
1404,non functional
12663,non functional
11358,non functional
11218,non functional
3190,functional needs repair
16679,non functional
11313,non functional
22941,non functional
2013,non functional
11900,functional needs repair
19641,non functional
23684,non functional
20106,functional needs repair
3128,non functional
19918,non functional
20554,non functional
3989,non functional
7465,non functional
17908,non functional
19964,non functional
4274,functional needs repair
22737,non functional
1120,non functional
17634,non functional
4969,non functional
12534,non functional
14432,non functional
15220,non functional
12618,non functional
4761,non functional
9520,non functional
22648,non functional
25214,non functional
13189,non functional
5615,non functional
22510,non functional
7139,non functional
7963,non functional
22076,functional needs repair
9546,non functional
6634,non functional
25420,non functional
10625,non functional
5761,non functional
1850,non functional
16862,functional needs repair
20656,non functional
11676,non functional
24116,non functional
20664,non functional
18417,non functional
3193,non functional
12539,non functional
236,functional needs repair
20,non functional
17397,non functional
24474,non functional
19127,non functional
8700,non functional
16379,non functional
11164,non functional
16073,non functional
18223,non functional
22189,non functional
23845,non functional
27081,functional needs repair
15243,non functional
11839,non functional
10425,non functional
17493,non functional
16853,non functional
5951,non functional
9880,non functional
1550,non functional
268,non functional
2867,non functional
11316,non functional
21127,functional needs repair
3392,non functional
343,non functional
27043,non functional
11688,non functional
15327,non functional
2482,non functional
8759,non functional
25928,functional needs repair
21087,functional needs repair
2518,non functional
12155,non functional
12337,non functional
27038,non functional
25912,functional needs repair
18438,non functional
14978,non functional
20131,functional needs repair
19324,non functional
26266,functional needs repair
4161,non functional
13182,non functional
1953,non functional
14839,non functional
20074,non functional
24084,non functional
478,non functional
1673,non functional
458,non functional
9670,non functional
25226,non functional
5037,non functional
17232,non functional
21220,non functional
22885,functional needs repair
6928,non functional
27028,non functional
14558,non functional
4272,non functional
14621,non functional
25133,functional needs repair
14455,non functional
3173,non functional
76,non functional
3029,functional needs repair
10641,non functional
7907,functional needs repair
11757,non functional
10846,non functional
21495,non functional
17076,non functional
14011,functional needs repair
22832,non functional
22423,non functional
8053,functional needs repair
18858,non functional
16741,non functional
17137,non functional
14713,non functional
15283,non functional
24283,non functional
5437,functional needs repair
6493,functional needs repair
25630,non functional
3650,non functional
19788,non functional
10456,non functional
229,non functional
25107,non functional
18014,non functional
12762,non functional
23292,non functional
26634,functional needs repair
22301,non functional
25956,non functional
2020,non functional
18456,non functional
7940,non functional
26871,functional needs repair
23279,non functional
1690,non functional
8247,non functional
1722,non functional
15564,non functional
10455,functional needs repair
15017,functional needs repair
24607,non functional
9073,non functional
6163,non functional
10765,non functional
21039,non functional
7568,non functional
4704,non functional
6601,non functional
16097,non functional
1503,functional needs repair
13690,non functional
21270,non functional
8460,non functional
1834,non functional
26701,functional needs repair
9441,non functional
24533,non functional
25525,functional needs repair
5343,non functional
11600,non functional
17414,non functional
4887,non functional
2617,non functional
26965,non functional
11280,non functional
24975,non functional
2117,functional needs repair
24704,non functional
16937,non functional
14900,non functional
16160,non functional
18529,functional needs repair
11196,non functional
25611,non functional
12292,non functional
1073,non functional
21873,non functional
2213,non functional
14344,non functional
17528,non functional
14136,functional needs repair
17887,non functional
23546,non functional
15584,non functional
27087,non functional
8910,non functional
13497,non functional
21445,non functional
15238,non functional
9903,non functional
10881,non functional
24790,non functional
8446,non functional
305,non functional
5127,non functional
26058,non functional
13670,functional needs repair
18147,non functional
21437,non functional
6805,functional needs repair
11702,non functional
24002,non functional
27125,non functional
22061,non functional
15197,non functional
16737,functional needs repair
8515,non functional
14384,non functional
5891,non functional
16048,non functional
25243,non functional
2418,non functional
3992,non functional
5199,non functional
9586,non functional
19069,non functional
1314,non functional
250,non functional
8953,non functional
20825,non functional
23671,non functional
1761,non functional
12131,non functional
25441,non functional
10929,non functional
4729,non functional
8676,functional needs repair
18257,functional needs repair
1323,non functional
6299,non functional
25955,non functional
3382,functional needs repair
8639,non functional
15331,non functional
25884,functional needs repair
14110,functional needs repair
5138,non functional
23157,non functional
22180,non functional
6657,non functional
12049,non functional
1424,non functional
24454,non functional
21965,non functional
2486,non functional
24556,non functional
7012,non functional
5736,non functional
10558,non functional
232,non functional
8396,non functional
13492,non functional
11618,non functional
16503,non functional
870,non functional
18095,non functional
25186,non functional
13210,functional needs repair
264,functional needs repair
15531,non functional
10843,functional needs repair
17646,non functional
17656,functional needs repair
12810,non functional
24639,non functional
21900,non functional
7713,non functional
25187,non functional
742,non functional
14214,non functional
20403,functional needs repair
585,functional needs repair
24621,non functional
21766,non functional
6858,functional needs repair
26824,non functional
11769,functional needs repair
9948,non functional
21055,non functional
13501,non functional
12966,non functional
1848,non functional
25899,functional needs repair
24386,non functional
25174,non functional
6442,non functional
7192,functional needs repair
5704,functional needs repair
20460,non functional
19070,non functional
21693,non functional
23597,non functional
11745,non functional
4837,non functional
17105,non functional
24339,non functional
22336,non functional
9493,non functional
16334,functional needs repair
1237,non functional
17733,non functional
17880,non functional
8300,non functional
3669,non functional
15008,non functional
22797,non functional
11851,non functional
14315,non functional
26555,non functional
18859,non functional
4951,non functional
14517,non functional
19522,non functional
23884,functional needs repair
24514,non functional
15593,non functional
13474,non functional
4871,non functional
5048,non functional
5221,non functional
1642,non functional
12684,non functional
5716,non functional
11066,non functional
20599,non functional
5881,non functional
12118,non functional
4481,non functional
4009,non functional
19874,non functional
11249,non functional
10238,functional needs repair
21378,non functional
4948,functional needs repair
18904,non functional
22047,functional needs repair
1320,non functional
24240,non functional
18158,functional needs repair
6242,non functional
12351,non functional
1411,functional needs repair
15721,non functional
18853,non functional
22532,non functional
19662,functional needs repair
16332,non functional
16660,functional needs repair
22469,non functional
15262,non functional
8954,non functional
16695,non functional
20812,non functional
25666,non functional
23925,non functional
10060,non functional
18633,non functional
9712,non functional
14861,non functional
10103,non functional
3944,non functional
26797,non functional
12809,non functional
2374,non functional
16856,functional needs repair
8351,non functional
9890,non functional
26161,non functional
18980,non functional
5488,non functional
8850,non functional
22014,non functional
18491,non functional
14360,functional needs repair
3802,non functional
18841,non functional
14761,non functional
1378,non functional
2652,non functional
8595,non functional
24951,non functional
6145,non functional
7058,non functional
6267,non functional
6254,non functional
11209,non functional
11715,non functional
21830,functional needs repair
20349,non functional
24349,non functional
26449,non functional
16027,non functional
19920,non functional
23767,non functional
724,non functional
1336,functional needs repair
21485,non functional
16175,non functional
10481,non functional
9165,non functional
24623,non functional
12895,non functional
4943,non functional
7240,non functional
14696,functional needs repair
4422,functional needs repair
17984,non functional
802,functional needs repair
8622,non functional
6151,non functional
22147,non functional
11924,functional needs repair
5679,non functional
25840,functional needs repair
25986,non functional
797,non functional
2325,non functional
11717,non functional
25725,functional needs repair
7462,non functional
15068,non functional
4153,non functional
20019,non functional
23463,non functional
7508,non functional
3592,non functional
16719,non functional
9199,non functional
3959,non functional
15357,non functional
4213,non functional
15833,functional needs repair
17156,functional needs repair
26474,non functional
15780,non functional
20515,non functional
26077,non functional
9447,non functional
22541,non functional
22938,non functional
26721,non functional
16055,non functional
7514,non functional
2729,non functional
21805,non functional
21154,non functional
25150,non functional
11780,functional needs repair
17443,non functional
19895,non functional
5936,non functional
17049,non functional
26723,non functional
25370,functional needs repair
15154,non functional
5380,non functional
20480,non functional
13848,non functional
10499,non functional
15967,non functional
13929,non functional
20884,non functional
13057,non functional
26887,non functional
22055,non functional
21150,non functional
21743,non functional
7315,non functional
17615,non functional
14512,non functional
6559,non functional
17367,non functional
6702,non functional
24425,non functional
22887,non functional
9398,non functional
12035,non functional
2369,non functional
19010,non functional
3372,non functional
11711,non functional
5059,non functional
1152,non functional
12925,non functional
10590,non functional
11740,non functional
8150,non functional
10688,non functional
4858,non functional
22727,functional needs repair
5441,non functional
766,non functional
20514,non functional
20831,non functional
8692,non functional
10706,non functional
15044,non functional
6873,non functional
12967,non functional
17280,non functional
3658,non functional
13392,functional needs repair
351,functional needs repair
25463,non functional
13337,non functional
10167,non functional
25449,non functional
9145,non functional
11908,non functional
6289,non functional
27139,non functional
18555,non functional
7261,non functional
11310,functional needs repair
5054,functional needs repair
25592,non functional
14013,functional needs repair
6385,non functional
19372,functional needs repair
1669,non functional
11619,non functional
20380,functional needs repair
14194,non functional
21641,non functional
8005,non functional
15330,non functional
15257,non functional
3681,non functional
2403,non functional
17328,functional needs repair
4938,non functional
14853,non functional
17237,non functional
25951,non functional
23798,non functional
25937,non functional
654,non functional
2917,non functional
25997,non functional
11038,non functional
17728,non functional
23511,non functional
21484,non functional
14348,functional needs repair
11554,non functional
18606,non functional
25557,non functional
26868,non functional
12234,non functional
3459,non functional
15788,non functional
715,functional needs repair
21117,non functional
1535,non functional
1829,non functional
24246,non functional
1853,non functional
17451,non functional
14657,non functional
16824,non functional
16872,non functional
18470,non functional
19397,non functional
3427,non functional
20417,non functional
7368,non functional
8151,non functional
3638,non functional
24406,functional needs repair
9106,non functional
2379,non functional
9504,non functional
3108,non functional
21961,non functional
3403,non functional
23693,non functional
637,non functional
22283,non functional
19203,functional needs repair
25759,non functional
20153,non functional
8902,functional needs repair
3,non functional
13700,non functional
9353,non functional
17945,non functional
1713,non functional
6280,non functional
15518,non functional
938,non functional
17609,non functional
5549,non functional
23570,non functional
14222,non functional
25892,functional needs repair
21669,non functional
24801,non functional
3009,non functional
22465,functional needs repair
21132,functional needs repair
12589,non functional
20149,non functional
17021,non functional
16832,non functional
3520,non functional
19789,non functional
384,non functional
12560,non functional
7521,functional needs repair
10403,non functional
19661,functional needs repair
23781,non functional
19233,non functional
20528,non functional
23856,non functional
14461,non functional
11627,non functional
18273,functional needs repair
18258,non functional
8082,non functional
3857,non functional
26014,non functional
5308,non functional
15687,non functional
20477,non functional
3814,non functional
11237,functional needs repair
1216,non functional
792,non functional
21071,non functional
24567,non functional
17587,non functional
11877,non functional
23403,non functional
15653,non functional
14664,non functional
3816,non functional
18197,functional needs repair
6169,non functional
2907,non functional
26099,non functional
15004,non functional
12408,non functional
2065,non functional
26754,non functional
2328,functional needs repair
8790,non functional
19091,non functional
17270,non functional
21568,non functional
19691,non functional
10349,non functional
895,functional needs repair
2996,non functional
3747,non functional
19344,non functional
21025,non functional
26149,functional needs repair
14649,non functional
8091,functional needs repair
21426,functional needs repair
16348,non functional
17784,non functional
9490,non functional
98,functional needs repair
22376,functional needs repair
11875,non functional
7676,non functional
20408,non functional
22740,functional needs repair
17686,non functional
5833,non functional
4305,non functional
7892,non functional
20089,non functional
11625,non functional
5195,non functional
18664,non functional
18623,non functional
6031,non functional
12696,non functional
13615,functional needs repair
11666,non functional
7087,non functional
6870,non functional
11721,non functional
21792,non functional
2296,non functional
22722,non functional
20363,non functional
12200,non functional
4516,non functional
26261,non functional
5430,non functional
21093,non functional
12088,non functional
16253,non functional
9897,non functional
13578,non functional
7443,non functional
18812,non functional
5358,non functional
23552,non functional
25514,non functional
20021,non functional
19347,non functional
13138,functional needs repair
18907,non functional
4807,functional needs repair
15891,non functional
7293,functional needs repair
13276,non functional
26821,non functional
22502,functional needs repair
14678,non functional
16745,functional needs repair
21334,non functional
26332,non functional
24213,non functional
6383,non functional
16672,non functional
16412,non functional
20960,non functional
10198,non functional
7760,non functional
3762,functional needs repair
380,non functional
25654,non functional
22184,non functional
847,non functional
6367,non functional
19871,non functional
3137,non functional
26668,non functional
16919,non functional
11801,non functional
6914,non functional
4766,non functional
5323,non functional
23226,non functional
26732,non functional
18896,non functional
12458,non functional
19323,non functional
6759,non functional
22890,non functional
12015,non functional
9604,functional needs repair
22819,non functional
5064,non functional
5119,non functional
25390,non functional
3560,non functional
21858,non functional
8453,functional needs repair
5182,functional needs repair
23810,non functional
15128,non functional
20836,non functional
11970,non functional
24090,non functional
359,non functional
22174,non functional
19974,non functional
11926,non functional
23918,non functional
908,functional needs repair
4127,non functional
5469,non functional
20893,non functional
25193,non functional
21422,non functional
16236,non functional
3456,functional needs repair
26621,non functional
1130,non functional
14615,non functional
6835,non functional
10656,non functional
6492,non functional
16644,non functional
15180,non functional
14766,functional needs repair
13860,non functional
6152,non functional
25325,non functional
11938,non functional
8153,non functional
26065,non functional
20720,non functional
22889,non functional
11665,non functional
1501,non functional
1435,non functional
18861,non functional
4279,functional needs repair
20190,non functional
18704,non functional
13635,functional needs repair
8228,non functional
3350,non functional
12916,functional needs repair
7418,non functional
25429,non functional
23824,non functional
21430,functional needs repair
3364,non functional
13130,non functional
13001,non functional
927,functional needs repair
12243,non functional
11551,non functional
6098,functional needs repair
22584,non functional
3277,non functional
24501,non functional
17319,functional needs repair
22243,non functional
22763,non functional
623,non functional
18651,non functional
2535,non functional
23107,non functional
15813,non functional
19052,non functional
289,non functional
21940,non functional
11385,functional needs repair
9407,non functional
19278,non functional
24423,non functional
25817,non functional
7383,non functional
17273,non functional
5712,non functional
13956,non functional
17746,non functional
4566,functional needs repair
17584,non functional
26028,non functional
20615,non functional
26326,non functional
9062,non functional
7915,non functional
26892,non functional
3498,non functional
14810,non functional
22383,non functional
11041,non functional
9512,non functional
13071,non functional
11097,non functional
7602,non functional
1361,non functional
17406,non functional
5594,non functional
13630,non functional
617,non functional
5931,non functional
8191,non functional
7634,non functional
18881,non functional
17560,non functional
11615,non functional
23506,non functional
7627,non functional
20768,non functional
11012,functional needs repair
645,non functional
2164,non functional
12572,non functional
10061,non functional
22921,functional needs repair
3223,non functional
24721,non functional
10473,non functional
22964,non functional
22965,non functional
20898,non functional
4691,non functional
19057,non functional
12517,non functional
26117,non functional
8609,non functional
746,non functional
6002,non functional
6123,non functional
18772,non functional
18775,non functional
17760,non functional
18225,non functional
23315,non functional
9137,non functional
4367,non functional
12687,functional needs repair
24254,non functional
9737,non functional
16037,non functional
24393,functional needs repair
15166,functional needs repair
21753,non functional
14970,functional needs repair
3486,non functional
8462,functional needs repair
21630,non functional
14077,functional needs repair
17446,functional needs repair
9502,non functional
5746,non functional
3423,non functional
17668,non functional
15374,non functional
26235,non functional
12999,non functional
22851,non functional
14100,non functional
13986,functional needs repair
26740,functional needs repair
20472,non functional
10538,non functional
17927,non functional
15224,non functional
23171,non functional
20485,non functional
21997,non functional
3420,non functional
13560,non functional
21217,non functional
17752,non functional
25788,non functional
23497,non functional
21770,functional needs repair
18828,non functional
20130,non functional
6458,non functional
7289,non functional
4162,non functional
4496,non functional
1072,functional needs repair
995,non functional
15557,non functional
5913,non functional
10952,non functional
5291,non functional
10662,functional needs repair
24520,non functional
8563,non functional
4854,non functional
9280,non functional
13445,non functional
13279,non functional
25706,non functional
7802,non functional
2876,non functional
25479,non functional
4209,non functional
2474,functional needs repair
853,non functional
14792,non functional
4193,non functional
8178,non functional
8003,non functional
12028,non functional
5196,non functional
23809,non functional
3101,non functional
21798,non functional
24404,non functional
4894,non functional
7264,non functional
9333,non functional
26906,non functional
4612,non functional
24947,non functional
22036,non functional
24012,non functional
992,non functional
24255,non functional
22594,non functional
12993,non functional
7271,non functional
17705,non functional
22598,non functional
12059,non functional
6078,non functional
10227,non functional
3613,non functional
1627,non functional
23494,non functional
4866,non functional
22112,functional needs repair
11673,functional needs repair
26513,non functional
5805,non functional
13335,non functional
4732,non functional
14668,non functional
1719,non functional
3708,functional needs repair
5170,non functional
1303,non functional
13417,non functional
22064,non functional
16819,non functional
7550,non functional
1055,non functional
20742,non functional
14926,non functional
9777,functional needs repair
13846,non functional
2773,functional needs repair
19151,non functional
18657,non functional
25185,non functional
13566,non functional
2465,non functional
13088,non functional
7982,non functional
10845,functional needs repair
2976,non functional
20847,non functional
11375,functional needs repair
19882,non functional
5863,functional needs repair
25541,non functional
8993,non functional
21312,non functional
7050,non functional
20687,non functional
3932,functional needs repair
20784,non functional
13828,non functional
19811,functional needs repair
6716,non functional
17268,functional needs repair
10316,non functional
21084,non functional
18554,non functional
8051,non functional
18092,non functional
23734,functional needs repair
17383,non functional
3769,non functional
10382,non functional
21984,non functional
11686,non functional
25843,non functional
14090,non functional
2383,non functional
20418,functional needs repair
13223,non functional
167,non functional
23402,non functional
18652,non functional
20810,non functional
7234,non functional
14958,non functional
25643,non functional
27010,non functional
19352,non functional
25774,non functional
8061,non functional
22092,non functional
14684,non functional
17225,non functional
24394,non functional
25842,non functional
10407,non functional
5973,non functional
15335,non functional
16212,non functional
8911,non functional
24700,non functional
23718,functional needs repair
15340,non functional
10514,non functional
564,non functional
15210,non functional
13793,non functional
24855,non functional
20739,non functional
13181,functional needs repair
25836,functional needs repair
16570,non functional
20426,non functional
15932,non functional
23101,non functional
14164,non functional
25976,functional needs repair
23179,non functional
4728,non functional
253,non functional
14120,functional needs repair
12218,non functional
14803,non functional
2323,non functional
21882,non functional
7499,non functional
10439,non functional
5011,non functional
26782,non functional
12753,non functional
22745,non functional
13761,non functional
24098,non functional
17254,functional needs repair
19480,non functional
17742,non functional
7476,functional needs repair
18990,non functional
21842,non functional
443,non functional
23961,non functional
10580,non functional
23886,non functional
12690,non functional
12986,non functional
12571,non functional
9787,non functional
13051,non functional
23081,functional needs repair
16912,functional needs repair
17187,non functional
26257,non functional
25729,non functional
26267,non functional
5212,non functional
12553,non functional
3751,non functional
22067,non functional
11553,non functional
26211,non functional
23449,non functional
10897,non functional
16281,functional needs repair
14593,functional needs repair
13667,non functional
13794,non functional
20926,non functional
13727,non functional
6675,non functional
22132,non functional
5446,non functional
14939,non functional
19765,non functional
3967,non functional
1539,non functional
11921,non functional
15177,non functional
2332,non functional
14436,non functional
5674,non functional
27077,non functional
17950,non functional
23992,non functional
26535,non functional
12936,non functional
15722,functional needs repair
23899,non functional
24536,non functional
23765,non functional
17222,non functional
26919,non functional
13103,non functional
4910,non functional
15064,non functional
15476,non functional
21462,functional needs repair
11387,non functional
20957,non functional
8214,non functional
25949,functional needs repair
7207,non functional
1622,non functional
11517,non functional
26168,non functional
7813,non functional
20010,non functional
17551,non functional
22242,functional needs repair
11567,non functional
17938,non functional
25130,non functional
12424,functional needs repair
16140,non functional
14579,non functional
1508,non functional
6500,non functional
14946,non functional
10130,non functional
17399,functional needs repair
8201,non functional
7069,non functional
2089,functional needs repair
16024,non functional
26142,functional needs repair
18806,non functional
17664,non functional
23272,non functional
6842,non functional
18913,non functional
8069,functional needs repair
23206,non functional
18639,non functional
17643,non functional
5713,non functional
20441,non functional
12720,non functional
15590,functional needs repair
7636,non functional
25382,non functional
17281,non functional
24486,non functional
24522,non functional
3169,non functional
6018,non functional
3258,non functional
19135,non functional
7270,functional needs repair
1481,non functional
24174,non functional
24164,functional needs repair
16016,non functional
5302,non functional
13263,non functional
2147,non functional
11177,non functional
25935,non functional
6211,non functional
5344,non functional
22875,non functional
8384,non functional
16152,non functional
15554,non functional
22458,non functional
860,functional needs repair
14999,non functional
347,non functional
22559,non functional
6973,non functional
25793,non functional
13281,non functional
22960,non functional
136,functional needs repair
11521,non functional
26733,non functional
53,non functional
26353,non functional
19238,functional needs repair
24203,non functional
13485,non functional
11488,non functional
3053,non functional
6137,non functional
9878,non functional
9310,non functional
7580,non functional
22367,functional needs repair
15387,non functional
11332,non functional
17083,non functional
3865,non functional
18141,non functional
9952,non functional
7003,non functional
21823,non functional
23696,non functional
23675,non functional
12856,non functional
2885,functional needs repair
4215,non functional
13616,non functional
15362,non functional
22192,non functional
17326,non functional
15931,non functional
4309,non functional
891,non functional
12561,non functional
11991,functional needs repair
1406,non functional
25446,non functional
5513,functional needs repair
16156,non functional
7952,non functional
16211,non functional
6228,non functional
20018,non functional
10661,non functional
14570,non functional
18743,non functional
12364,non functional
411,non functional
15959,non functional
18650,non functional
20837,non functional
20827,non functional
14489,non functional
27068,non functional
22954,functional needs repair
25172,non functional
2086,non functional
5669,non functional
6791,non functional
26283,non functional
9605,functional needs repair
10650,non functional
21033,non functional
15688,non functional
14377,functional needs repair
20030,functional needs repair
7755,non functional
21548,non functional
7816,non functional
24352,non functional
414,non functional
1768,non functional
1319,non functional
19717,non functional
6165,non functional
26954,non functional
11149,non functional
15241,non functional
17398,non functional
4169,non functional
14808,non functional
19944,non functional
9308,non functional
8218,non functional
6122,non functional
16171,non functional
7193,non functional
2203,non functional
10088,non functional
15821,non functional
20711,non functional
6893,non functional
22602,non functional
3163,non functional
7575,non functional
3185,functional needs repair
14272,non functional
363,non functional
11344,non functional
24140,non functional
26485,non functional
22931,non functional
19847,non functional
14599,non functional
10450,non functional
25404,non functional
26214,non functional
13697,non functional
4643,non functional
19177,non functional
3809,non functional
17978,non functional
11156,non functional
12399,non functional
21001,non functional
3906,functional needs repair
7869,non functional
